,x,y,color
0,71,121,#FFFF00
1,71,121,#F81894
2,71,121,#26f7fd
3,71,121,#FFFF00
4,71,121,#F81894
5,71,121,#26f7fd
6,71,121,#FFFF00
7,71,121,#F81894
8,71,121,#26f7fd
9,71,121,#FFFF00
10,71,121,#F81894
11,71,121,#26f7fd
12,71,121,#FFFF00
13,71,121,#F81894
14,71,121,#26f7fd
15,71,121,#FFFF00
16,71,121,#F81894
17,71,121,#26f7fd
18,71,121,#FFFF00
19,71,121,#F81894
20,71,121,#26f7fd
21,71,121,#FFFF00
22,71,121,#F81894
23,71,121,#26f7fd
24,71,121,#FFFF00
25,71,121,#F81894
26,71,121,#26f7fd
27,71,121,#FFFF00
28,71,121,#F81894
29,71,121,#26f7fd
30,71,121,#FFFF00
31,71,121,#F81894
32,71,121,#26f7fd
33,71,121,#FFFF00
34,71,121,#F81894
35,71,121,#26f7fd
36,71,121,#FFFF00
37,71,121,#F81894
38,71,121,#26f7fd
39,71,121,#FFFF00
40,71,121,#F81894
41,71,121,#26f7fd
42,71,121,#FFFF00
43,71,121,#F81894
44,71,121,#26f7fd
45,71,121,#FFFF00
46,71,121,#F81894
47,71,121,#26f7fd
48,71,121,#FFFF00
49,71,121,#F81894
50,71,121,#26f7fd
51,71,121,#FFFF00
52,71,121,#F81894
53,71,121,#26f7fd
54,71,121,#FFFF00
55,71,121,#F81894
56,71,121,#26f7fd
57,71,121,#FFFF00
58,71,121,#F81894
59,71,121,#26f7fd
60,71,121,#FFFF00
61,71,121,#F81894
62,71,121,#26f7fd
63,71,121,#FFFF00
64,71,121,#F81894
65,71,121,#26f7fd
66,71,121,#FFFF00
67,71,121,#F81894
68,71,121,#26f7fd
69,71,121,#FFFF00
70,71,121,#F81894
71,71,121,#26f7fd
72,71,121,#FFFF00
73,71,121,#F81894
74,71,121,#26f7fd
75,71,121,#FFFF00
76,71,121,#F81894
77,71,121,#26f7fd
78,71,121,#FFFF00
79,71,121,#F81894
80,71,121,#26f7fd
81,71,121,#FFFF00
82,71,121,#F81894
83,71,121,#26f7fd
84,71,121,#FFFF00
85,71,121,#F81894
86,71,121,#26f7fd
87,70,121,#FFFF00
88,71,121,#F81894
89,71,121,#26f7fd
90,70,121,#FFFF00
91,71,121,#F81894
92,71,121,#26f7fd
93,70,121,#FFFF00
94,71,121,#F81894
95,71,121,#26f7fd
96,70,121,#FFFF00
97,71,121,#F81894
98,71,121,#26f7fd
99,69,121,#FFFF00
100,71,121,#F81894
101,71,121,#26f7fd
102,69,121,#FFFF00
103,71,121,#F81894
104,71,121,#26f7fd
105,69,121,#FFFF00
106,71,121,#F81894
107,71,121,#26f7fd
108,68,121,#FFFF00
109,70,122,#F81894
110,71,121,#26f7fd
111,68,121,#FFFF00
112,70,122,#F81894
113,71,121,#26f7fd
114,68,122,#FFFF00
115,69,122,#F81894
116,71,121,#26f7fd
117,68,122,#FFFF00
118,69,122,#F81894
119,71,121,#26f7fd
120,68,122,#FFFF00
121,69,122,#F81894
122,71,121,#26f7fd
123,68,123,#FFFF00
124,69,122,#F81894
125,71,121,#26f7fd
126,68,123,#FFFF00
127,69,122,#F81894
128,71,121,#26f7fd
129,68,123,#FFFF00
130,69,122,#F81894
131,71,121,#26f7fd
132,68,123,#FFFF00
133,69,122,#F81894
134,71,121,#26f7fd
135,68,123,#FFFF00
136,69,122,#F81894
137,71,121,#26f7fd
138,68,123,#FFFF00
139,69,122,#F81894
140,71,121,#26f7fd
141,68,123,#FFFF00
142,69,122,#F81894
143,71,121,#26f7fd
144,68,123,#FFFF00
145,69,122,#F81894
146,71,121,#26f7fd
147,68,123,#FFFF00
148,69,122,#F81894
149,71,121,#26f7fd
150,69,123,#FFFF00
151,69,122,#F81894
152,71,121,#26f7fd
153,69,123,#FFFF00
154,69,122,#F81894
155,71,121,#26f7fd
156,70,124,#FFFF00
157,69,122,#F81894
158,71,121,#26f7fd
159,70,124,#FFFF00
160,69,122,#F81894
161,71,121,#26f7fd
162,70,124,#FFFF00
163,69,122,#F81894
164,71,121,#26f7fd
165,71,125,#FFFF00
166,69,122,#F81894
167,71,121,#26f7fd
168,71,125,#FFFF00
169,69,122,#F81894
170,71,121,#26f7fd
171,71,125,#FFFF00
172,70,122,#F81894
173,71,121,#26f7fd
174,71,125,#FFFF00
175,70,122,#F81894
176,71,121,#26f7fd
177,71,125,#FFFF00
178,70,122,#F81894
179,71,121,#26f7fd
180,71,125,#FFFF00
181,70,121,#F81894
182,71,121,#26f7fd
183,70,125,#FFFF00
184,71,121,#F81894
185,71,121,#26f7fd
186,70,125,#FFFF00
187,71,122,#F81894
188,71,121,#26f7fd
189,70,125,#FFFF00
190,71,122,#F81894
191,71,121,#26f7fd
192,69,125,#FFFF00
193,72,122,#F81894
194,71,121,#26f7fd
195,69,125,#FFFF00
196,72,123,#F81894
197,71,121,#26f7fd
198,69,125,#FFFF00
199,72,123,#F81894
200,71,121,#26f7fd
201,69,125,#FFFF00
202,72,123,#F81894
203,71,121,#26f7fd
204,69,125,#FFFF00
205,72,123,#F81894
206,71,121,#26f7fd
207,69,125,#FFFF00
208,73,124,#F81894
209,71,121,#26f7fd
210,69,125,#FFFF00
211,73,124,#F81894
212,71,121,#26f7fd
213,69,125,#FFFF00
214,73,125,#F81894
215,71,121,#26f7fd
216,69,125,#FFFF00
217,73,125,#F81894
218,71,121,#26f7fd
219,69,125,#FFFF00
220,73,125,#F81894
221,71,121,#26f7fd
222,69,125,#FFFF00
223,73,125,#F81894
224,71,121,#26f7fd
225,69,125,#FFFF00
226,73,125,#F81894
227,71,121,#26f7fd
228,69,125,#FFFF00
229,73,125,#F81894
230,71,121,#26f7fd
231,69,125,#FFFF00
232,73,125,#F81894
233,71,121,#26f7fd
234,69,125,#FFFF00
235,73,125,#F81894
236,71,121,#26f7fd
237,69,125,#FFFF00
238,73,125,#F81894
239,71,121,#26f7fd
240,69,125,#FFFF00
241,73,125,#F81894
242,71,121,#26f7fd
243,69,125,#FFFF00
244,73,125,#F81894
245,71,121,#26f7fd
246,69,125,#FFFF00
247,73,125,#F81894
248,71,121,#26f7fd
249,69,125,#FFFF00
250,74,125,#F81894
251,71,121,#26f7fd
252,69,125,#FFFF00
253,74,125,#F81894
254,71,121,#26f7fd
255,69,125,#FFFF00
256,74,125,#F81894
257,71,121,#26f7fd
258,69,125,#FFFF00
259,74,126,#F81894
260,71,121,#26f7fd
261,69,125,#FFFF00
262,74,126,#F81894
263,71,121,#26f7fd
264,69,125,#FFFF00
265,74,126,#F81894
266,71,121,#26f7fd
267,69,125,#FFFF00
268,74,126,#F81894
269,71,121,#26f7fd
270,69,125,#FFFF00
271,74,126,#F81894
272,71,121,#26f7fd
273,69,125,#FFFF00
274,74,126,#F81894
275,71,121,#26f7fd
276,69,125,#FFFF00
277,74,126,#F81894
278,71,121,#26f7fd
279,69,125,#FFFF00
280,74,126,#F81894
281,71,121,#26f7fd
282,68,125,#FFFF00
283,74,126,#F81894
284,71,121,#26f7fd
285,68,125,#FFFF00
286,74,126,#F81894
287,71,121,#26f7fd
288,68,125,#FFFF00
289,74,126,#F81894
290,71,121,#26f7fd
291,68,125,#FFFF00
292,74,126,#F81894
293,71,121,#26f7fd
294,68,125,#FFFF00
295,74,126,#F81894
296,71,121,#26f7fd
297,68,125,#FFFF00
298,74,126,#F81894
299,71,121,#26f7fd
300,68,124,#FFFF00
301,74,126,#F81894
302,71,121,#26f7fd
303,68,124,#FFFF00
304,73,126,#F81894
305,71,121,#26f7fd
306,68,123,#FFFF00
307,73,126,#F81894
308,71,121,#26f7fd
309,69,123,#FFFF00
310,73,126,#F81894
311,71,121,#26f7fd
312,69,123,#FFFF00
313,74,126,#F81894
314,71,121,#26f7fd
315,69,124,#FFFF00
316,74,126,#F81894
317,71,121,#26f7fd
318,70,124,#FFFF00
319,74,126,#F81894
320,71,120,#26f7fd
321,70,124,#FFFF00
322,74,126,#F81894
323,71,120,#26f7fd
324,70,125,#FFFF00
325,74,126,#F81894
326,71,120,#26f7fd
327,70,125,#FFFF00
328,74,126,#F81894
329,71,119,#26f7fd
330,71,125,#FFFF00
331,74,126,#F81894
332,71,119,#26f7fd
333,71,125,#FFFF00
334,74,126,#F81894
335,71,119,#26f7fd
336,71,126,#FFFF00
337,74,126,#F81894
338,71,119,#26f7fd
339,71,126,#FFFF00
340,74,126,#F81894
341,71,119,#26f7fd
342,71,126,#FFFF00
343,74,126,#F81894
344,71,119,#26f7fd
345,71,126,#FFFF00
346,74,126,#F81894
347,71,119,#26f7fd
348,71,126,#FFFF00
349,74,126,#F81894
350,71,119,#26f7fd
351,72,126,#FFFF00
352,74,126,#F81894
353,71,119,#26f7fd
354,72,126,#FFFF00
355,74,126,#F81894
356,71,119,#26f7fd
357,72,126,#FFFF00
358,74,126,#F81894
359,71,119,#26f7fd
360,73,126,#FFFF00
361,74,126,#F81894
362,71,119,#26f7fd
363,73,126,#FFFF00
364,74,126,#F81894
365,71,119,#26f7fd
366,73,126,#FFFF00
367,74,126,#F81894
368,71,119,#26f7fd
369,73,126,#FFFF00
370,74,126,#F81894
371,71,119,#26f7fd
372,73,126,#FFFF00
373,74,126,#F81894
374,71,119,#26f7fd
375,73,125,#FFFF00
376,74,126,#F81894
377,71,119,#26f7fd
378,73,125,#FFFF00
379,74,126,#F81894
380,71,119,#26f7fd
381,72,125,#FFFF00
382,74,126,#F81894
383,71,119,#26f7fd
384,72,125,#FFFF00
385,74,126,#F81894
386,71,119,#26f7fd
387,73,125,#FFFF00
388,74,126,#F81894
389,71,119,#26f7fd
390,73,125,#FFFF00
391,74,126,#F81894
392,71,119,#26f7fd
393,73,125,#FFFF00
394,74,126,#F81894
395,71,119,#26f7fd
396,74,125,#FFFF00
397,74,126,#F81894
398,71,119,#26f7fd
399,74,125,#FFFF00
400,74,126,#F81894
401,71,119,#26f7fd
402,73,125,#FFFF00
403,74,126,#F81894
404,71,119,#26f7fd
405,73,125,#FFFF00
406,74,126,#F81894
407,71,119,#26f7fd
408,73,125,#FFFF00
409,74,126,#F81894
410,71,119,#26f7fd
411,72,126,#FFFF00
412,74,126,#F81894
413,71,118,#26f7fd
414,72,126,#FFFF00
415,74,126,#F81894
416,70,118,#26f7fd
417,72,126,#FFFF00
418,74,126,#F81894
419,70,118,#26f7fd
420,72,126,#FFFF00
421,74,126,#F81894
422,70,117,#26f7fd
423,72,126,#FFFF00
424,74,126,#F81894
425,70,117,#26f7fd
426,72,126,#FFFF00
427,74,126,#F81894
428,70,117,#26f7fd
429,72,126,#FFFF00
430,74,126,#F81894
431,70,117,#26f7fd
432,72,126,#FFFF00
433,74,126,#F81894
434,70,117,#26f7fd
435,72,126,#FFFF00
436,74,126,#F81894
437,70,117,#26f7fd
438,72,126,#FFFF00
439,74,126,#F81894
440,70,117,#26f7fd
441,72,126,#FFFF00
442,74,126,#F81894
443,70,117,#26f7fd
444,72,126,#FFFF00
445,74,126,#F81894
446,70,117,#26f7fd
447,72,126,#FFFF00
448,74,126,#F81894
449,70,117,#26f7fd
450,72,126,#FFFF00
451,74,126,#F81894
452,70,117,#26f7fd
453,72,126,#FFFF00
454,74,126,#F81894
455,70,117,#26f7fd
456,72,126,#FFFF00
457,74,126,#F81894
458,70,117,#26f7fd
459,72,126,#FFFF00
460,74,126,#F81894
461,70,117,#26f7fd
462,72,126,#FFFF00
463,74,126,#F81894
464,70,117,#26f7fd
465,72,126,#FFFF00
466,74,126,#F81894
467,70,117,#26f7fd
468,72,126,#FFFF00
469,74,126,#F81894
470,70,117,#26f7fd
471,72,126,#FFFF00
472,74,126,#F81894
473,70,117,#26f7fd
474,72,126,#FFFF00
475,74,126,#F81894
476,70,117,#26f7fd
477,72,126,#FFFF00
478,74,126,#F81894
479,70,117,#26f7fd
480,72,126,#FFFF00
481,74,126,#F81894
482,70,117,#26f7fd
483,72,126,#FFFF00
484,74,126,#F81894
485,70,117,#26f7fd
486,72,126,#FFFF00
487,74,126,#F81894
488,70,117,#26f7fd
489,72,126,#FFFF00
490,74,126,#F81894
